movie.id,rating.avg,rating.stdev,rating.med,rating.Q1,rating.Q3,Release.year,Release.period
37,3.989323843,0.976451249,4,4,5,1973,1960-1980
38,2.051122195,1.153025651,2,1,3,2003,2000-2010
39,2.436170213,1.135867349,2,1,3,2000,2000-2010
40,2.920570265,1.065126456,3,2,4,2004,2000-2010
41,1.634408602,0.791049746,1,1,2,2000,2000-2010
42,2.328125,0.948346053,2,2,3,2002,2000-2010
43,2.571428571,1.284950933,3,1,3,2000,2000-2010
44,3.684037172,0.969737614,4,3,4,1996,1980-2000
45,2.96869034,0.963313412,3,2,4,1999,1980-2000
46,3.806495883,1.043030515,4,3,5,1964,1960-1980
47,3.266382979,1.090858383,3,3,4,1952,1940-1960
48,3.710944027,1.064750471,4,3,5,2001,2000-2010
49,3.666666667,1.256865206,4,3,5,2003,2000-2010
50,3.027439024,0.977973078,3,2.75,4,1941,1940-1960
51,3.566666667,1.382474577,4,3,5,2002,2000-2010
52,3.757140082,0.943859932,4,3,4,2002,2000-2010
53,1.675438596,0.907155567,1,1,2,2003,2000-2010
54,2.987421384,1.037203039,3,2,4,1952,1940-1960
55,3.024522028,1.085445807,3,2,4,1995,1980-2000
56,3.648663393,0.991156096,4,3,4,2004,2000-2010
57,3.678551376,1.035313209,4,3,4,1995,1980-2000
58,3.612008044,0.952228583,4,3,4,1996,1980-2000
59,2.789215686,1.059640878,3,2,3,2003,2000-2010
60,2.149152542,1.083954225,2,1,3,1969,1960-1980
61,2.952380952,1.278555121,3,2,4,1999,1980-2000
62,3.624137931,0.998322182,4,3,4,1991,1980-2000
63,3.25,0.99314591,3,3,4,1943,1940-1960
64,2.421052632,1.163075045,2,1,3,2001,2000-2010
65,2.329457364,1.131432968,2,1,3,2000,2000-2010
66,2.295180723,1.11337909,2,1.25,3,1989,1980-2000
67,2.557093426,1.107593673,3,2,3,1997,1980-2000
68,4.142599278,1.170544938,5,4,5,2004,2000-2010
69,3.293103448,1.462679146,3,2,5,2003,2000-2010
70,2.731778426,1.085959859,3,2,3,1999,1980-2000
71,3.770019218,0.987887185,4,3,4,1995,1980-2000
72,3.145251397,1.320162281,3,2,4,1974,1960-1980
73,3.891566265,1.008154997,4,3,5,1954,1940-1960
74,3.18556701,0.991747831,3,3,4,1999,1980-2000
75,2.570776256,1.017401277,3,2,3,1997,1980-2000
76,4.090385917,1.14372905,4,4,5,1952,1940-1960
77,2.852772467,1.126128681,3,2,4,1995,1980-2000
78,2.941649485,1.138074157,3,2,4,1996,1980-2000
79,3.765381219,0.962183794,4,3,4,1956,1940-1960
80,2.799270073,1.009043093,3,2,3,1979,1960-1980
81,3.439551641,0.997467205,3,3,4,1991,1980-2000
82,3.042016807,0.977674151,3,3,4,1951,1940-1960
83,3.729331339,0.861325553,4,3,4,1983,1980-2000
84,3.221293605,1.093623864,3,3,4,2002,2000-2010
85,4.251879699,0.967634853,5,4,5,2005,2000-2010
86,1.954545455,1.089262827,2,1,3,1996,1980-2000
87,2.811965812,1.173938434,3,2,4,2002,2000-2010
88,3.835378323,1.167846223,4,3,5,1998,1980-2000
89,2.691343964,1.041528903,3,2,3,2000,2000-2010
90,3.496,1.001793264,4,3,4,1951,1940-1960
91,3.895943563,1.192482838,4,3,5,2005,2000-2010
92,3.565217391,1.469619886,4,3,5,2002,2000-2010
93,2.689655172,1.083884524,3,2,3,2004,2000-2010
94,3.684210526,1.168871347,4,3,5,2000,2000-2010
95,2.582887701,1.170353908,3,2,3,1985,1980-2000
96,3.368852459,1.089059423,3,3,4,2000,2000-2010
97,3.871828293,0.900447767,4,3,4,2002,2000-2010
98,3.915384615,0.988575166,4,3,5,1965,1960-1980
99,2.420634921,1.053399636,2,2,3,1989,1980-2000
100,2.653846154,1.18241359,3,2,3,1993,1980-2000
